Seq,IMFB,BX,BY,BZ,PlasmaSpeed,Kp,Dst,Hp60,Sunspot,F10.7,Classificacao
1,4.8,0.4,4.3,-0.5,399.0,0.7,4,6,124,154.3,Período Calmo
2,5.0,2.2,4.0,-1.1,395.0,0.7,3,3,124,154.3,Período Calmo
3,5.5,1.1,3.8,-2.6,386.0,0.7,1,4,124,154.3,Período Calmo
4,5.5,-0.5,4.2,-3.3,376.0,1.3,1,3,124,154.3,Período Calmo
5,6.2,-1.7,4.1,-4.0,372.0,1.3,-1,6,124,154.3,Período Calmo
6,6.8,-1.9,4.4,-4.6,374.0,1.3,-4,7,124,154.3,Período Calmo
7,6.3,-3.1,4.4,-1.5,369.0,2.0,-6,6,124,154.3,Período Calmo
8,6.4,-1.9,5.2,-2.9,371.0,2.0,-7,6,124,154.3,Período Calmo
9,7.6,-4.8,3.4,2.9,376.0,2.0,-5,9,124,154.3,Período Calmo
10,8.0,-3.1,6.2,3.0,380.0,2.0,3,7,124,154.3,Período Calmo
11,9.7,-2.5,7.5,-3.8,384.0,2.0,12,7,124,154.3,Período Calmo
12,11.7,0.2,10.0,-5.2,404.0,2.0,10,12,124,154.3,Período Calmo
13,13.6,4.1,6.3,-7.4,420.0,3.7,-1,22,124,154.3,Período Calmo
14,14.5,8.9,7.4,-7.9,421.0,3.7,-19,27,124,154.3,Período Calmo
15,13.3,-2.6,7.4,-1.8,435.0,3.7,-32,27,124,154.3,Período Calmo
16,12.5,-7.1,7.5,2.6,488.0,3.0,-39,18,124,154.3,Período Calmo
17,12.6,-9.7,6.5,2.9,522.0,3.0,-32,12,124,154.3,Período Calmo
18,11.5,-6.8,8.6,0.8,524.0,3.0,-27,9,124,154.3,Período Calmo
19,10.4,-4.7,8.7,-2.0,517.0,3.0,-26,9,124,154.3,Período Calmo
20,10.6,-5.1,8.6,-3.1,509.0,3.0,-26,12,124,154.3,Período Calmo
21,11.1,-5.2,8.1,-4.4,503.0,3.0,-27,12,124,154.3,Período Calmo
22,9.6,-6.2,5.3,0.9,532.0,3.0,-25,22,124,154.3,Período Calmo
23,9.1,-6.5,5.0,2.6,543.0,3.0,-17,9,124,154.3,Período Calmo
24,7.6,-4.3,2.0,3.3,558.0,3.0,-13,12,124,154.3,Período Calmo
25,7.0,-5.2,1.8,1.4,551.0,3.3,-15,12,133,155.2,Período Calmo
